Facility Number,Facility Name,Facility Type,Better Beginnings,Address,County,Director,Owner,Phone,Email Address,Website Address,Total Allowed Capacity,Voucher Participant,CACFP Facility,ABC Facility
15117,Kareer Kids CDC,Child Care Center,Level 3,"1912 McArthur Dr, Jacksonville, AR, 72076-2453",Pulaski,Kristy Brown,Caraco Inc,(501) 985-2715,kristy@kareer-kids.com,,24,TRUE,TRUE,TRUE
13521,Kennedy Headstart,Child Care Center,Level 3,"4901 W 65th St, Little Rock, AR, 72209-3838",Pulaski,Emogene Moore,UAMS DEPARTMENT OF PEDIATRICS,(501) 565-6533,ccartwright2@uams.edu,,73,FALSE,TRUE,FALSE
8015,Trinity Methodist Preschool,Child Care Center,Level 3,"1101 North Mississippi, Little Rock, AR, 72207",Pulaski,Cindy Chenault,Trinity United Church,(501) 666-2815,trinitypreschool@tumclr.org,tumclr.org,126,FALSE,FALSE,FALSE
7366,Quality Child Care Inc,Child Care Center,Level 3,"4218 S University Ave, Little Rock, AR, 72204-7841",Pulaski,Beth Flippo,"Quality Child Care, LLC",(501) 562-5800,veronica@qualitychildcareinc.com,qualitychildcareinc.com,115,TRUE,TRUE,TRUE
6563,Pre-K Crystal Hill Elementary School,Child Care Center,Level 3,"5001 Northshore Dr, North Little Rock, AR, 72118-5294",Pulaski,Nikki Stolzer,Pulaski County Special School District,(501) 791-8000,nstolzer3086@pcssd.org,,45,FALSE,TRUE,TRUE
6302,St. James Learning Center,Child Care Center,Level 3,"321 Pleasant Valley Dr, Little Rock, AR, 72212",Pulaski,Kathy Boehme,St James United Methodist Church,(501) 416-3342,ashley@stjameslr.org,stjameslr.org,176,FALSE,FALSE,FALSE
6294,Asbury Christian CDC,Child Care Center,Level 3,"1700 Napa Valley Dr, Little Rock, AR, 72212",Pulaski,Holly Clark,Asbury United Methodist Church,(501) 225-1511,accdcdir@asbury-lr.org,,151,FALSE,FALSE,FALSE
1893,Day School at First Church,Child Care Center,Level 3,"1201 Edgewood Dr, Maumelle, AR, 72113-6906",Pulaski,Yolanda Traylor,First United Methodist Church,(501) 851-2273,yolanda@fumcmaumelle.org,,80,FALSE,FALSE,FALSE
508,Childrens House Montessori,Child Care Center,Level 3,"4023 Lee Ave, Little Rock, AR, 72205-5549",Pulaski,Caroline Sorrows,Nancy Scott,(501) 664-5993,childrenshouse1973@gmail.com,,85,TRUE,FALSE,FALSE
56372,Blue Blossoms Academy,Child Care Center,Level 2,"6323 Colonel Glenn Rd unit 109, Little Rock, AR, 72204-7757",Pulaski,Jamie Thomas,Blue Blossoms Academy,(501) 500-2449,blueblossomsacademy@gmail.com,www.blueblossomsacademy.com,25,TRUE,FALSE,FALSE
56119,Elite Learning at LISA Academy North Middle High School,Out of School Time,Level 2,"1 Lisa Academy Way, North Little Rock, AR, 72117",Pulaski,Kendra Evans,Alpine Education Services dba Elite Learning,(281) 888-5233,arkansassupport@elitelearning.org,https://www.lisaacademy.org/schools,36,TRUE,FALSE,FALSE
56115,Elite Learning at LISA Academy North Elementary,Out of School Time,Level 2,"5410 Landers Road, North Little Rock, AR, 72117",Pulaski,Kendra Evans,Alpine Education Services dba Elite Learning,(281) 888-5233,arkansassupport@elitelearning.org,https://www.lisaacademy.org/schools,36,TRUE,FALSE,FALSE
55824,Twin City Development Center,Child Care Center,Level 2,"2501 N Poplar St, North Little Rock, AR, 72114-2327",Pulaski,Sabrina Rodgers,Twin City Development Center,(501) 960-9021,admin@twincitydevelopmentcenter.com,n/a,92,TRUE,FALSE,FALSE
55809,Easterseals Academy,Early Intervention Day Treatment (EIDT),Level 2,"11801 Fairview Rd, Little Rock, AR, 72212-2406",Pulaski,Amanda Griffin,Easterseals Arkansas,(501) 663-6965,agriffin@eastersealsar.com,http://www.eastersealsar.com,300,TRUE,FALSE,FALSE
55662,Little Angel's Childcare Center,Child Care Center,Level 2,"7619 Morris Dr, Little Rock, AR, 72209-7354",Pulaski,Felicia Evans,Little Angel's Childcare Center Inc.,(501) 246-4686,flebaby74@yahoo.com,,53,TRUE,FALSE,FALSE
54962,Exalt Early Learning Academy,Child Care Center,Level 2,"6111 West 83rd Street, Cloverdale, Little Rock, AR, 72209",Pulaski,Ashley McDonald,Exalt Academy of Southwest Little Rock,(501) 568-3279,admin@exaltacadamies.org,https://www.exaltacademies.org/?utm_source=cumulus&utm_medium=onlinepresence&utm_campaign=gbp,88,TRUE,FALSE,FALSE
54821,Busy Bee’s Learning Center,Child Care Center,Level 2,"3010 West Pratt Road, Little Rock, AR, 72206",Pulaski,Miesha Williams,Busy Bees Learning Center LLC,(501) 404-4744,busybeeslc2025@gmail.com,,26,TRUE,FALSE,FALSE
54683,Caring Hearts Childcare Center,Child Care Center,Level 2,"8635 Chicot Rd, Little Rock, AR, 72209-4445",Pulaski,Michelle Palmer,Caring Hearts Childcare Center LLC,(501) 351-2396,michellepalmer825@gmail.com,,44,TRUE,FALSE,FALSE
54531,Lolli & Pop's Childcare,Licensed Child Care Family Home,Level 2,"5023 Josephine St, Little Rock, AR, 72223-2074",Pulaski,Tabitha Christopher,Tabitha Christopher,(501) 541-0957,lollipops.childcare02@gmail.com,,5,TRUE,FALSE,FALSE
54338,Ganna’s House,Out of School Time,Level 2,"80 Westminister Drive, Wakefield, Little Rock, AR, 72209",Pulaski,Pamela Allen,"Ganna’s House, LLC",(501) 406-5273,gannashouse12@gmail.com,,91,TRUE,FALSE,FALSE
54156,Roberts Elementary CARE,Out of School Time,Level 2,"16601 Lamarche Drive, Little Rock, AR, 72223",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,36,TRUE,FALSE,FALSE
54144,Washington Elementary CARE,Out of School Time,Level 2,"2700 S Main St, Little Rock, AR, 72206",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,146,TRUE,FALSE,FALSE
54143,Terry Elementary CARE,Out of School Time,Level 2,"10800 Mara Lynn Road, Little Rock, AR, 72211",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,24,TRUE,FALSE,FALSE
54136,Dr. Martin Luther King CARE,Out of School Time,Level 2,"905 Dr. Martin Luther King Jr. Drive, Little Rock, AR, 72202",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,36,TRUE,FALSE,FALSE
54137,Jefferson Elementary CARE,Out of School Time,Level 2,"2600 North McKinley Street, Little Rock, AR, 72207",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,36,TRUE,FALSE,FALSE
54134,McDermott Elementary CARE,Out of School Time,Level 2,"1200 Reservoir Road, Little Rock, AR, 72207",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,24,TRUE,FALSE,FALSE
54133,Otter Creek Elementary CARE,Out of School Time,Level 2,"16000 Otter Creek Parkway, Little Rock, AR, 72210",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,36,TRUE,FALSE,FALSE
54130,JA Fair K8 Prep Academy CARE,Out of School Time,Level 2,"13420 David O Dodd Road, Little Rock, AR, 72210",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,36,TRUE,FALSE,FALSE
54127,Fulbright Elementary CARE,Out of School Time,Level 2,"300 Pleasant Valley Drive, Little Rock, AR, 72212",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,60,TRUE,FALSE,FALSE
54126,Forest Park Elementary CARE,Out of School Time,Level 2,"1600 N Tyler Street, Forest Park, Little Rock, AR, 72207-5338",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,72,TRUE,FALSE,FALSE
54124,Forest Heights STEM CARE,Out of School Time,Level 2,"5901 Evergreen Drive, Little Rock, AR, 72205",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-1880,andreia.crawford@lrsd.org,,66,TRUE,FALSE,FALSE
54070,Chicot Elementary CARE Program,Out of School Time,Level 2,"11100 Chicot Road, Mabelvale, Little Rock, AR, 72103",Pulaski,AnDreia Crawford,Little Rock School District,(501) 447-7000,andreia.crawford@lrsd.org,,72,TRUE,FALSE,FALSE
53747,Blue Blossoms Academy,Child Care Center,Level 2,"804 East Kiehl Avenue, Sherwood, AR, 72120",Pulaski,Jamie Thomas,Blue Blossoms Academy LLC,(501) 500-2449,blueblossomsacademy@gmail.com,,20,TRUE,FALSE,FALSE
53616,The Kidz Den,Licensed Child Care Family Home,Level 2,"3825 Antioch Boulevard, Little Rock, AR, 72206",Pulaski,Yolanda Hadley,The Kidz Den,(501) 489-2175,thekidzdendaycare@gmail.com,,16,FALSE,FALSE,FALSE
52843,Terry Elementary,Child Care Center,Level 2,"10800 Mara Lynn Road, Little Rock, AR, 72211",Pulaski,Aimee Young,Little Rock School Board,(501) 447-6502,esther.jones@lrsd.org,www.lrsd.org,40,TRUE,FALSE,TRUE
51823,Right at School at Cato Elementary,Out of School Time,Level 2,"9906 Jacksonville-Cato Road, Sherwood, AR, 72120",Pulaski,Tracie Mitchell,"Right at School, LLC",(501) 400-2168,catoelementary@rightatschool.com,rightatschool.com,268,TRUE,FALSE,FALSE
51684,Nana's Care Daycare LLC,Child Care Center,Level 2,"5312 W 10th St, Little Rock, AR, 72204-1852",Pulaski,Myisha Moss,Nana's Care Daycare LLC,(501) 747-1059,ownernana.cfb2019@yahoo.com,https://www.nanascaredaycare.com/,56,TRUE,FALSE,FALSE
50616,UAMS Child Development Center,Child Care Center,Level 2,"1015 Jonesboro Drive, Little Rock, AR, 72204",Pulaski,Melanie Ledford,Bright Horizons Children's Centers LLC,(501) 686-8480,uamscdc@brighthorizons.com,https://child-care-preschool.brighthorizons.com/AR/Little-Rock/uamschilddevelopmentcenter,260,TRUE,FALSE,FALSE
50610,Kid to Kid Clubhouse Inc,Out of School Time,Level 2,"1415 W Main St, Jacksonville, AR, 72076-4351",Pulaski,Laqueta James,Kid to Kid 3 Club House Inc,(501) 703-4653,kidtokid1and2@gmail.com,,90,TRUE,FALSE,FALSE
48726,Right at School at Sherwood Elementary,Out of School Time,Level 2,"307 Verona Avenue, Sherwood, AR, 72120",Pulaski,Cleea Jeffries,"Right at School, LLC",(501) 779-1367,sherwood_ar@rightatschool.com,rightatschool.com,36,TRUE,FALSE,FALSE
48725,Right at School at Pine Forest Elementary,Out of School Time,Level 2,"400 Pine Forest Drive, Maumelle, AR, 72113",Pulaski,Elizabeth Thomas,"Right at School, LLC",(501) 779-1704,pineforest@rightatschool.com,rightatschool.com,36,TRUE,FALSE,FALSE
48665,Right at School at Sylvan Hills Elementary,Out of School Time,Level 2,"402 Dee Jay Hudson Drive, Sherwood, AR, 72120",Pulaski,Hannah Oglesby,"Right at School, LLC",(501) 507-9936,subsidy@rightatschool.com,rightatschool.com,144,TRUE,FALSE,FALSE
48662,Right at School at Crystal Hill,Out of School Time,Level 2,"5001 Northshore Drive, North Little Rock, AR, 72118",Pulaski,Charlotte Burse,"Right at School, LLC",(501) 507-4659,crystalhill@rightatschool.com,rightatschool.com,36,TRUE,FALSE,FALSE
48651,Right at School at Clinton Elementary,Out of School Time,Level 2,"142 Hollywood Ave, Sherwood, AR, 72120-4162",Pulaski,Belinda Dougan,"Right at School, LLC",(501) 507-4519,clinton_ar@rightatschool.com,rightatschool.com,72,TRUE,FALSE,FALSE
48506,"Building Blocks Child Care Center, Inc.",Child Care Center,Level 2,"2824 John Barrow Road, John Barrow, Little Rock, AR, 72204",Pulaski,Patricia Wright-Champ,"Building Blocks Child Care Center, Inc.",(501) 908-5553,bbchildcarecenter@yahoo.com,,108,TRUE,FALSE,FALSE
48253,Kidd Kave Learning Center 2,Child Care Center,Level 2,"7723 1/2 Colonel Glenn Rd, Little Rock, AR, 72204",Pulaski,Laquishun Jimerson,Kidd Kave Learning Center,(501) 246-5042,kiddklc2@aol.com,,356,TRUE,FALSE,FALSE
46238,Love and Patience Child Care Center,Child Care Center,Level 2,"1724 Pike ave., North Little Rock, AR, 72114",Pulaski,Shretta Morris,Love and Patience child care center,(501) 562-1727,shrettamorris@gmail.com,,114,TRUE,FALSE,FALSE
45507,Guided Steps Childcare Center,Child Care Center,Level 2,"1808 AR-161 Jacksonville A, Jacksonville, AR, 72076",Pulaski,Shontrice Caldwell,Andreia Hines-Taylor,(501) 551-5252,guidedstepschildcare@gmail.com,,38,TRUE,FALSE,FALSE
45268,Kiddie Kollege Preschool LLC,Child Care Center,Level 2,"1901 E. Broadway Street, North Little Rock, AR, 72114",Pulaski,Pheleisa Woods,Kiddie Kollege Preschool LLC,(501) 414-8475,kiddiekollegenlr@gmail.com,,107,TRUE,FALSE,FALSE
31431,Kid Success LLC DBA Pediatrics Plus Developmental Preschool,Early Intervention Day Treatment (EIDT),Level 2,"4901 Northshore Dr, North Little Rock, AR, 72118",Pulaski,Jessica Myers,KIDS SUCCESS INC PEDIATRICS PLUS DEV PRESCHOOL,(501) 791-3331,dhscompliance@pediatricsplus.com,,167,TRUE,FALSE,FALSE
29595,Pediatrics Plus Developmental Preschool,Early Intervention Day Treatment (EIDT),Level 2,"19010 Cantrell Rd, Little Rock, AR, 72223",Pulaski,Laura Weigt,KIDS SUCCESS INC PEDIATRICS PLUS DEV PRESCHOOL,(501) 932-7938,dhscompliance@pediatricsplus.com,,152,TRUE,FALSE,FALSE
28528,Kid Success LLC dba Pediatrics Plus Developmental Preschool,Early Intervention Day Treatment (EIDT),Level 2,"1900 Aldersgate Rd, Little Rock, AR, 72205",Pulaski,Ana Pyron,KIDS SUCCESS INC PEDIATRICS PLUS DEV PRESCHOOL,(501) 821-5459,dhscompliance@pediatricsplus.com,,199,TRUE,TRUE,FALSE
28298,University of Arkansas for Medical Sciences DBA Kids First Little Rock,Early Intervention Day Treatment (EIDT),Level 2,"333 Executive Ct, Little Rock, AR, 72205-4550",Pulaski,Jennifer Ivy,UAMS DEPARTMENT OF PEDIATRICS,(501) 526-8770,jivy2@uams.edu,uams.edu,155,FALSE,TRUE,FALSE
27994,Grow Learning Center,Early Intervention Day Treatment (EIDT),Level 2,"5 Remington Cove, Little Rock, AR, 72204-8274",Pulaski,William (Bill) Sims,JLM Ventures Inc.,(501) 850-8788,sandra.farr@growlearningcentre.com,www.growlearningcentre.com,205,FALSE,TRUE,FALSE
16067,Integrity Child Care,Early Intervention Day Treatment (EIDT),Level 2,"6124 Northmoor Dr, Little Rock, AR, 72204",Pulaski,Chris Anderson,INTEGRITY INC,(501) 614-7200,candersen@integrityinc.org,,51,TRUE,TRUE,FALSE
10318,Achieve Community Alliance/Achieve kids,Early Intervention Day Treatment (EIDT),Level 2,"9720 N Rodney Parham Rd, Little Rock, AR, 72227-6212",Pulaski,Ava McGee,United Cerebral Palsy Of Central Arkansas Inc.,(501) 228-3830,ava@achievecommunity.org,,234,TRUE,TRUE,FALSE
6949,Francis A. Allen School,Early Intervention Day Treatment (EIDT),Level 2,"824 N Tyler St, Little Rock, AR, 72205-3535",Pulaski,Sherrie Ivy,Francis A. Allen School For Exceptional Children Inc,(501) 664-2961,sherrie@francisallenschool.com,,125,FALSE,TRUE,FALSE
38186,Teeny Tiny Tots Playhouse,Child Care Center,Level 2,"5906 W 53rd St, Little Rock, AR, 72209-1557",Pulaski,Catina Davis,"Teeny Tiny Tot Playhouse, LLC",(501) 541-9918,tttplayhouse@yahoo.com,,59,TRUE,TRUE,FALSE
37928,Leap Forward,Child Care Center,Level 2,"5313 Mabelvale Pike, Little Rock, AR, 72209-1819",Pulaski,Frederica Slater,Leap Forward CDC,(501) 864-0007,leap.forward@yahoo.com,,102,TRUE,FALSE,FALSE
36564,Jamari & Jazz Kid Connection LLC,Child Care Center,Level 2,"4000 E Broadway St, North Little Rock, AR, 72114-6430",Pulaski,Stacie Altman,Jamari & Jazz Kid Connection LLC,(501) 346-9673,jjkc.stacie@gmail.com,,51,TRUE,TRUE,FALSE
36400,Young Scholars Child Development Center,Child Care Center,Level 2,"8903 Morris Manor Dr, Little Rock, AR, 72204-1461",Pulaski,Adrianne Oneal,Young Scholars Child Development Center,(501) 683-8391,young_scholars@yahoo.com,,42,TRUE,TRUE,FALSE
36342,Dance Life Preschool of Arts,Licensed Child Care Family Home,Level 2,"312 Water St, North Little Rock, AR, 72117",Pulaski,Ricarol Rockins,Ricarol Rockins,(501) 291-8770,ricarol.hinton@gmail.com,,10,TRUE,TRUE,FALSE
36252,Apples N Oranges Enrichment Center,Licensed Child Care Family Home,Level 2,"6824 Fairfield Dr, Little Rock, AR, 72209-7448",Pulaski,,Angela Jackson,(501) 349-7545,pinkngreen41@gmail.com,,16,FALSE,TRUE,FALSE
35685,Younglins Kid Zone,Child Care Center,Level 2,"3620 Baseline Road, Little Rock, AR, 72209",Pulaski,Theresa Young,Youngs In Home Care Inc,(501) 280-0901,gerryteresayoung@sbcglobal.net,,85,TRUE,TRUE,FALSE
35373,Touched by an Angel Family Home,Licensed Child Care Family Home,Level 2,"1713 Green Meadow Drive, Little Rock, AR, 72204",Pulaski,Angel Pitman,Angel Weston-Pittman,(501) 413-4316,angel.pittman1219@att.net,,10,TRUE,TRUE,FALSE
35354,Kidd Kave Learning Center,Child Care Center,Level 2,"8319 Geyer Springs Rd, Little Rock, AR, 72209-4945",Pulaski,Laquishun Jimerson,LaQuishun Jimerson,(501) 355-7309,kiddkavelearningcenter@aol.com,,31,TRUE,FALSE,FALSE
31403,Scrubbee's Kids Academy,Child Care Center,Level 2,"723 N Beech St, North Little Rock, AR, 72120",Pulaski,Betty Lewis,Stevie Brewer,(501) 313-4991,scrubbeeskidsacademy@yahoo.com,,58,TRUE,TRUE,FALSE
31381,Teach Play to Learn Childcare and Preschool Development Center,Child Care Center,Level 2,"4110 E 37th St, Little Rock, AR, 72206",Pulaski,Lanell Jefferson,Prekinder Beginning Prep Academy Inc.,(501) 904-7103,pprekinder@gmail.com,teachplaytolearn.com,128,TRUE,TRUE,FALSE
31241,JFUMC Christian Childcare Center,Child Care Center,Level 2,"220 West Main Street, Jacksonville, AR, 72076",Pulaski,April Palmer,First United Methodist Church,(501) 333-4353,jfumc.ccc@gmail.com,,58,FALSE,TRUE,FALSE
31187,Central Arkansas Montessori,Child Care Center,Level 2,"900 Mission Road, North Little Rock, AR, 72118",Pulaski,Laure Burchfield,"Central Arkansas Montessori, Inc.",(501) 352-6712,centralarmontessori@gmail.com,camnlr.com,85,TRUE,FALSE,FALSE
31173,Tweety's Lil Academy,Child Care Center,Level 2,"8923 Sunset Ln, Little Rock, AR, 72209-6526",Pulaski,Anne Hester,Gwenevere Plunkett / Tweety's Lil Academy,(501) 517-6999,tweetyslilacademy@gmail.com,,87,TRUE,TRUE,FALSE
30872,Ethel's Educational Express CDC LLC,Child Care Center,Level 2,"213 N Bailey Blvd, Jacksonville, AR, 72076-4404",Pulaski,ETHEL KNIGHT,Ethel KNIGHT,(501) 457-7030,cdc@ethelseducationalexpress.com,www.ethelseducationalexpress.com,47,TRUE,TRUE,FALSE
30837,Kiddie Academy,Child Care Center,Level 2,"610 Wellington Hills Rd, Little Rock, AR, 72211-2296",Pulaski,Monica Brooks,Apple of Gods Eye Inc,(501) 588-3014,littlerock@kiddieacademy.net,,216,TRUE,TRUE,FALSE
30656,Sherwood Christian Academy,Child Care Center,Level 2,"1061 Lantrip Rd, Sherwood, AR, 72120-4161",Pulaski,Ronda Sobczak,Ronda Sobczak,(501) 833-2277,amazinguar@gmail.com,www.sherwoodchristianacademy.com,78,TRUE,FALSE,FALSE
30542,The Children's Center,Child Care Center,Level 2,"11512 Mabelvale West, LITTLE ROCK, AR, 72209",Pulaski,Bridgette Gaines,Lisa Jenkins,(501) 455-2690,childrens-center@sbcglobal.net,,153,TRUE,TRUE,FALSE
30494,Kingdom Kidds Childcare Center,Child Care Center,Level 2,"9900 Brockington Rd, Sherwood, AR, 72120-3415",Pulaski,Tracey Thomasson,Kingdom Kidds Chilcare Center,(501) 834-5474,kingdomworks@sbcglobal.net,,81,TRUE,FALSE,FALSE
30358,Kare A Lot Learning Academy,Child Care Center,Level 2,"6 Otter Creek Ct, Little Rock, AR, 72210-5780",Pulaski,Tiffani Lee,2 TLee Inc,(501) 712-4203,karealotlearningacademy@yahoo.com,,121,TRUE,TRUE,FALSE
30199,Small Blessings Nurturing Childcare,Child Care Center,Level 2,"13001 Stacy Ln, Little Rock, AR, 72211-3238",Pulaski,LaTonya Shelton,Small Blessings Nuturing Childcare LLC,(501) 221-1102,latanyashelton@yahoo.com,,30,TRUE,TRUE,FALSE
30179,Love and Patience CCC,Child Care Center,Level 2,"910 West 25th Street, North Little Rock, AR, 72114",Pulaski,Shretta Morris,Shretta Morris,(501) 541-8533,shrettamorris@gmail.com,,57,TRUE,FALSE,FALSE
30095,Teacher's Pet,Child Care Center,Level 2,"1801 Kierre Dr, North Little Rock, AR, 72116-3300",Pulaski,Sarah Freeman,Ridgeview Learning LLC,(501) 758-3730,angela.todd@teacherspetpreschool.com,www.teacherspetpreschool.com,94,TRUE,FALSE,FALSE
30094,Teacher's Pet Infant Center,Child Care Center,Level 2,"908 West 35th Street, North Little Rock, AR, 72118",Pulaski,Sarah Freeman,Ridgeview Learning LLC,(501) 758-0344,angela.todd@teacherspetpreschool.com,,30,TRUE,FALSE,FALSE
29580,Baseline Bilingual School,Child Care Center,Level 2,"3516 Baseline Rd, Little Rock, AR, 72209-5508",Pulaski,Ida Pettus,Ida Pettus,(501) 541-4222,kidsmartdirector@yahoo.com,,55,TRUE,TRUE,FALSE
29575,Baseline Bilingual School,Child Care Center,Level 2,"3425 BASELINE ROAD, LITTLE ROCK, AR, 72209",Pulaski,Ida Pettus,Ida Pettus,(501) 541-4222,kidsmartdirector@yahoo.com,,60,TRUE,TRUE,FALSE
29055,Deloney's Child Development Center,Child Care Center,Level 2,"8003 Mabelvale Cut Off Road, Mabelvale, AR, 72103",Pulaski,Rita Deloney,Deloneys Adult Daycare Inc.,(501) 562-6613,deloneyscdc@yahoo.com,,42,TRUE,FALSE,FALSE
27637,Christ the King Pre Kindergarten,Child Care Center,Level 2,"4002 N Rodney Parham Rd, Little Rock, AR, 72212-2443",Pulaski,Kari Greenway,Christ the King Catholic School,(501) 225-7883,kgreenway@ctklr.org,www.ctklr.org,88,FALSE,FALSE,FALSE
27405,Kids R' Kids Learning Center,Child Care Center,Level 2,"9015 Kanis Rd, Little Rock, AR, 72205",Pulaski,Crystal Martin,Crystal Martin,(501) 565-2800,cdmartin_1979@yahoo.com,,59,TRUE,TRUE,FALSE
26557,Early Childhood Education Program at Trinity Cathedral,Child Care Center,Level 2,"310 W 17th St, Little Rock, AR, 72206-1461",Pulaski,Christy Poindexter,"Early Childhood Education Program at Trinity Cathedral, Inc.",(501) 588-3659,cpoindexter@trinitylittlerock.org,,274,TRUE,FALSE,FALSE
26278,Dillon's Family Daycare,Child Care Center,Level 2,"20514 Arch St, Hensley, AR, 72065-9252",Pulaski,Deserie Geyer-Watts,Dillons Family Daycare LLC,(501) 261-1234,dillonsfamilydaycare@gmail.com,,81,TRUE,FALSE,FALSE
25986,kids academy,Child Care Center,Level 2,"10355 Riverview Corporate Drive, North Little Rock, AR, 72113",Pulaski,Stacey Studdard,Kids Academy Inc.,(501) 753-0008,smaries78@msn.com,,257,TRUE,TRUE,FALSE
25877,Heavens Angels Learning Center LLC,Child Care Center,Level 2,"1210 W 9th St, North Little Rock, AR, 72114-4519",Pulaski,Tomeka Gaston,Heavens Angels Learning Center LLC,(501) 374-5509,heavensangels001@yahoo.com,,15,TRUE,TRUE,FALSE
25508,Elaines Second Step Family Home,Registered Child Care Family Home,Level 2,"6000 Foxboro Drive, North Little Rock, AR, 72118",Pulaski,,Vernada Watkins,(501) 772-9288,vwat19@gmail.com,,5,TRUE,TRUE,FALSE
25320,Kiddz Kampus Inc,Child Care Center,Level 2,"3603 Highway 161, North Little Rock, AR, 72117",Pulaski,Felicia Scott,Kiddz Kampus Inc,(501) 954-0100,kiddzkampus@gmail.com,,32,TRUE,TRUE,FALSE
25317,Scholastic Academy Inc.,Child Care Center,Level 2,"415 E 17TH ST, LITTLE ROCK, AR, 72206",Pulaski,Shacuna Jones,Scholastic Academy Inc.,(501) 372-7735,scholasticacademy@sbcglobal.net,,139,TRUE,TRUE,TRUE
24298,Adventures Christian Child Care II,Child Care Center,Level 2,"3400 Asher Ave, Little Rock, AR, 72204-5539",Pulaski,Debra Tayes,Vernita Montgomery,(501) 664-4622,adventureschristianchildcare@outlook.com,,90,TRUE,TRUE,FALSE
23328,Kids Academy,Child Care Center,Level 2,"18401 Cantrell Rd, Little Rock, AR, 72223-4580",Pulaski,"Emilia ""Rena"" Boutot",Kids Academy Inc.,(501) 868-7774,smaries78@msn.com,,209,TRUE,TRUE,FALSE
15479,"The Growing Tree Early Learning Center, Inc.",Child Care Center,Level 2,"18240 Lawson Road, Little Rock, AR, 72210",Pulaski,Roma Barnes,The Growing Tree Inc,(501) 821-8770,tgtelc022@yahoo.com,,10,TRUE,TRUE,FALSE
14220,Word Of Outreach Christian Academy & Daycare,Child Care Center,Level 2,"3411 Asher Avenue, Little Rock, AR, 72204",Pulaski,Carolyn Smith,Word Of Outreach Christian Academy & Day Care,(501) 747-1034,daycare4wooca@gmail.com,,47,TRUE,FALSE,FALSE
13303,Kids Academy,Child Care Center,Level 2,"7326 Cock Of The Walk, Maumelle, AR, 72113",Pulaski,Amanda Falcone,Kids Academy Inc.,(501) 791-2227,agfkids1@yahoo.com,,92,TRUE,TRUE,FALSE
10376,Bingham Road Baptist Child Development Center,Child Care Center,Level 2,"923 West Bingham Road, Little Rock, AR, 72206",Pulaski,Julie Wingard,Roger Brown,(501) 888-2541,cdc@binghamroadchurch.com,,154,TRUE,TRUE,FALSE
8716,Little Scholars,Child Care Center,Level 2,"8707 Stanton Rd, Little Rock, AR, 72209-5245",Pulaski,Debra Conley,Sipe Ministries Inc,(501) 562-2774,noupien76@gmail.com,,148,TRUE,TRUE,FALSE
6776,Pulaski Heights Elementary Care,Out of School Time,Level 2,"319 N Pine St, Little Rock, AR, 72205-4215",Pulaski,Andreia Crawford,Little Rock School Board,(501) 663-6469,andreia.crawford@lrsd.org,,194,TRUE,TRUE,FALSE
6459,Small Fry Day Care Center,Child Care Center,Level 2,"7235 Jacksonville Cutoff Rd, Jacksonville, AR, 72076-8836",Pulaski,Cassidy Harrison,Small Fry Day Care Inc,(501) 835-4397,smallfrydaycare@att.net,,71,TRUE,TRUE,FALSE
6311,Williams Elementary CARE,Out of School Time,Level 2,"7201 Evergreen Dr, Little Rock, AR, 72207",Pulaski,Sarah Smith,Little Rock School Board,(501) 447-1880,andreia.crawford@lrsd.org,,228,TRUE,TRUE,FALSE
6259,Southwest Christian Academy,Child Care Center,Level 2,"11301 Geyer Springs Rd, Little Rock, AR, 72209-8613",Pulaski,Kristen Stewart,Southwest Christian Academy Inc.,(501) 565-3276,stewart.kristen@swchristian.com,www.swchristian.com,325,TRUE,FALSE,FALSE
1185,Stinson Chapel Day Care Center,Child Care Center,Level 2,"606 S Claremont Ave, Sherwood, AR, 72120-5948",Pulaski,Angela Smith,Stinson Chapel General Baptist Church,(501) 835-2845,stinsondaycare@gmail.com,,104,TRUE,FALSE,FALSE
24,FUMC Childrens Enrichment Center,Child Care Center,Level 2,"6701 John F Kennedy Boulevard, North Little Rock, AR, 72116",Pulaski,Richard Alcala,First United Mehtodist Church Of North Little Rock,(501) 835-2903,ralcala@nlrfumc.org,www.nlrfumc.org,267,FALSE,TRUE,FALSE
